fecha,total_1ra_y_2da_dosis_aplicadas
2020-12-29,20482
2020-12-30,20102
2020-12-31,2806
2021-01-01,127
2021-01-02,3313
2021-01-03,444
2021-01-04,10462
2021-01-05,10728
2021-01-06,10112
2021-01-07,18224
2021-01-08,27888
2021-01-09,10208
2021-01-10,1177
2021-01-11,19824
2021-01-12,19393
2021-01-13,16768
2021-01-14,16649
2021-01-15,17441
2021-01-16,5884
2021-01-17,1062
2021-01-18,9832
2021-01-19,13247
2021-01-20,19424
2021-01-21,14118
2021-01-22,9218
2021-01-23,3945
2021-01-24,303
2021-01-25,14212
2021-01-26,12812
2021-01-27,10106
2021-01-28,16049
2021-01-29,23502
2021-01-30,9313
2021-01-31,624
2021-02-01,19525
2021-02-02,23878
2021-02-03,26615
2021-02-04,28131
2021-02-05,33038
2021-02-06,10925
2021-02-07,1383
2021-02-08,23423
2021-02-09,20196
2021-02-10,15625
2021-02-11,17854
2021-02-12,15836
2021-02-13,3036
2021-02-14,152
2021-02-15,1318
2021-02-16,1312
2021-02-17,24401
2021-02-18,63823
2021-02-19,67883
2021-02-20,32617
2021-02-21,20177
2021-02-22,67552
2021-02-23,86948
2021-02-24,93799
2021-02-25,79511
2021-02-26,81679
2021-02-27,17892
2021-02-28,6125
2021-03-01,74558
2021-03-02,75621
2021-03-03,71467
2021-03-04,112072
2021-03-05,111746
2021-03-06,54939
2021-03-07,11788
2021-03-08,102486
2021-03-09,115796
2021-03-10,163977
2021-03-11,186829
2021-03-12,161646
2021-03-13,46388
2021-03-14,9170
2021-03-15,137600
2021-03-16,133739
2021-03-17,139569
2021-03-18,138951
2021-03-19,126178
2021-03-20,50871
2021-03-21,19630
2021-03-22,83056
2021-03-23,106468
2021-03-24,37458
2021-03-25,103189
2021-03-26,93569
2021-03-27,55082
2021-03-28,20825
2021-03-29,120197
2021-03-30,163017
2021-03-31,174932
2021-04-01,117138
2021-04-02,68152
2021-04-03,74490
2021-04-04,48483
2021-04-05,165992
2021-04-06,193994
2021-04-07,238414
2021-04-08,235959
2021-04-09,240395
2021-04-10,92943
2021-04-11,48311
2021-04-12,181822
2021-04-13,186048
2021-04-14,171668
2021-04-15,151096
2021-04-16,123721
2021-04-17,45711
2021-04-18,19902
2021-04-19,90476
2021-04-20,122727
2021-04-21,173952
2021-04-22,178176
2021-04-23,194546
2021-04-24,92222
2021-04-25,49319
2021-04-26,172115
2021-04-27,153736
2021-04-28,158990
2021-04-29,156249
2021-04-30,114946
2021-05-01,20300
2021-05-02,40171
2021-05-03,174691
2021-05-04,232024
2021-05-05,244962
2021-05-06,202796
2021-05-07,205351
2021-05-08,74275
2021-05-09,18692
2021-05-10,141659
2021-05-11,140425
2021-05-12,197597
2021-05-13,192129
2021-05-14,196482
2021-05-15,95071
2021-05-16,67596
2021-05-17,186947
2021-05-18,198254
2021-05-19,167712
2021-05-20,182547
2021-05-21,177260
2021-05-22,100440
2021-05-23,45258
2021-05-24,88363
2021-05-25,63413
2021-05-26,153055
2021-05-27,169385
2021-05-28,246048
2021-05-29,227473
2021-05-30,128828
2021-05-31,298965
2021-06-01,314890
2021-06-02,309322
2021-06-03,349588
2021-06-04,408116
2021-06-05,326784
2021-06-06,217318
2021-06-07,353102
2021-06-08,369856
2021-06-09,372333
2021-06-10,335016
2021-06-11,366770
2021-06-12,185042
2021-06-13,82662
2021-06-14,237940
2021-06-15,257726
2021-06-16,286921
2021-06-17,314355
2021-06-18,399248
2021-06-19,232568
2021-06-20,99206
2021-06-21,169667
2021-06-22,287801
2021-06-23,263126
2021-06-24,304474
2021-06-25,376714
2021-06-26,316082
2021-06-27,176194
2021-06-28,372982
2021-06-29,374411
2021-06-30,375694
2021-07-01,431910
2021-07-02,415574
2021-07-03,336583
2021-07-04,196490
2021-07-05,409837
2021-07-06,416807
2021-07-07,404077
2021-07-08,410445
2021-07-09,357534
2021-07-10,331846
2021-07-11,165541
2021-07-12,387104
2021-07-13,393561
2021-07-14,398319
2021-07-15,399935
2021-07-16,456316
2021-07-17,322501
2021-07-18,168187
2021-07-19,418691
2021-07-20,448485
2021-07-21,419935
2021-07-22,386829
2021-07-23,407582
2021-07-24,237572
2021-07-25,133859
2021-07-26,407644
2021-07-27,428143
2021-07-28,460014
2021-07-29,424955
2021-07-30,426995
2021-07-31,274659
2021-08-01,167388
2021-08-02,417135
2021-08-03,408021
2021-08-04,417313
2021-08-05,430311
2021-08-06,413962
2021-08-07,278159
2021-08-08,161701
2021-08-09,390949
2021-08-10,370386
2021-08-11,412699
2021-08-12,392407
2021-08-13,416731
2021-08-14,256518
2021-08-15,162638
2021-08-16,190989
2021-08-17,439708
2021-08-18,435160
2021-08-19,425982
2021-08-20,436061
2021-08-21,257200
2021-08-22,170029
2021-08-23,408441
2021-08-24,448890
2021-08-25,426534
2021-08-26,442641
2021-08-27,467692
2021-08-28,243591
2021-08-29,168809
2021-08-30,417722
2021-08-31,459979
2021-09-01,455880
2021-09-02,448189
2021-09-03,434758
2021-09-04,296028
2021-09-05,196649
2021-09-06,441458
2021-09-07,463451
2021-09-08,373763
2021-09-09,397741
2021-09-10,342358
2021-09-11,198779
2021-09-12,9765
2021-09-13,302495
2021-09-14,279620
2021-09-15,330335
2021-09-16,361272
2021-09-17,362731
2021-09-18,221221
2021-09-19,137542
2021-09-20,345746
2021-09-21,309333
2021-09-22,328477
2021-09-23,311444
2021-09-24,261226
2021-09-25,128207
2021-09-26,88005
2021-09-27,282476
2021-09-28,300833
2021-09-29,255337
2021-09-30,336491
2021-10-01,304104
2021-10-02,179021
2021-10-03,108522
2021-10-04,229983
2021-10-05,266632
2021-10-06,247626
2021-10-07,264765
2021-10-08,121313
2021-10-09,115834
2021-10-10,78639
2021-10-11,76309
2021-10-12,347140
2021-10-13,379809
2021-10-14,424303
2021-10-15,426161
2021-10-16,253836
2021-10-17,103637
2021-10-18,423301
2021-10-19,423919
2021-10-20,414527
2021-10-21,419632
2021-10-22,463527
2021-10-23,216640
2021-10-24,145756
2021-10-25,364696
2021-10-26,408970
2021-10-27,328151
2021-10-28,352381
2021-10-29,324685
2021-10-30,129419
2021-10-31,150061
2021-11-01,298504
2021-11-02,320815
2021-11-03,350467
2021-11-04,359829
2021-11-05,311113
2021-11-06,167036
2021-11-07,127840
2021-11-08,250053
2021-11-09,352224
